CORPORATE_IDENTIFICATION_NUMBER;COMPANY_NAME;COMPANY_STATUS;COMPANY_CLASS;COMPANY_CATEGORY;COMPANY_SUB_CATEGORY;DATE_OF_REGISTRATION;REGISTERED_STATE;AUTHORIZED_CAP;PAIDUP_CAPITAL;INDUSTRIAL_CLASS;PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN;REGISTERED_OFFICE_ADDRESS;REGISTRAR_OF_COMPANIES;EMAIL_ADDR;LATEST_YEAR_ANNUAL_RETURN;LATEST_YEAR_FINANCIAL_STATEMENT
L24219GJ1969PLC001588;UNIPHOS ENTERPRISES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;29-5-1969;Gujarat;1000000000.0;139091698.0;24219.0;Manufacturing;11,GIDCVAPI  ;ROC AHMEDABAD;thackerkm@uniphos.com;31-3-2019;31-3-2019
L24219GJ1985PLC025132;UPL LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;2-1-1985;Gujarat;4770000000.0;1528090912.0;24219.0;Manufacturing;3-11, G.I.D.C., VAPI,   ;ROC AHMEDABAD;sandeep.deshmukh@upl-ltd.com;31-3-2019;31-3-2019
L24220GJ1989PLC012463;SARIKA PAINTS LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;6-7-1989;Gujarat;50000000.0;45500000.0;24220.0;Manufacturing;56 ELLIS SHOPPING CENTREELLISBRIDGE   ;ROC AHMEDABAD;kukadiasanjay@rediffmail.com;;31-3-2007
L24222GJ1990PLC014789;ASAHI SONGWON COLORS LIMITED (LUCKYLAMINATES)  ;ACTV;Public;Company limited by Shares;Non-govt company;10-12-1990;Gujarat;165000000.0;122723000.0;24222.0;Manufacturing;"""Asahi House"", 13, Aaryans Corporate Park, ThaltejNr. Shilaj Railway Crossing, Thaltej-Shilaj Road,  ";ROC AHMEDABAD;cs@asahisongwon.com;31-3-2019;31-3-2019
L24224GJ2010PLC062434;MANGALAM GLOBAL ENTERPRISE LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-9-2010;Gujarat;170000000.0;160574100.0;24224.0;Manufacturing;101,Mangalam Corporate House,19/B Kalyan SocietyNear M.G. International School,Mithakhali  ;ROC AHMEDABAD;info@groupmangalam.com;31-3-2019;31-3-2019
L24229GJ1993PLC020879;JYOTI RESINS AND ADHESIVES LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;17-12-1993;Gujarat;540000000.0;40000000.0;24229.0;Manufacturing;SURVEY NO. 873, OPP.ANAND HEALTHCARE, RANCHHODPURAROAD, SANTEJ,TAL. KALOL  ;ROC AHMEDABAD;info@euro7000.com;31-3-2019;31-3-2019
L24230GJ1939PLC002480;GUJCHEM DISTILLERS INDIA LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;4-4-1939;Gujarat;100000000.0;1633545.0;24230.0;Manufacturing;OFFICE NO. 6, 2nd FLOOR, NATIONAL CHAMBERSNR. CITY GOLD, ASHRAM ROAD  ;ROC AHMEDABAD;gujchemdistillers@gmail.com;31-3-2019;31-3-2019
L24230GJ1972PLC002126;TORRENT PHARMACEUTICALS LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;15-7-1972;Gujarat;1500000000.0;846113600.0;24230.0;Manufacturing;TORRENT HOUSEOFF ASHRAM ROADNAVARANGPURA 9  ;ROC AHMEDABAD;investorservices@torrentpharma.com;31-3-2019;31-3-2019
L24230GJ1976PLC008738;LYKA LABS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;29-12-1976;Gujarat;420000000.0;297757000.0;24230.0;Manufacturing;4801/B & 4802/A GIDC INDUTRAIL ESTATE   ;ROC AHMEDABAD;companysecretary@lykalabs.com;31-3-2019;31-3-2019
L24230GJ1980PLC003843;DENIS CHEM LAB LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;15-7-1980;Gujarat;160000000.0;138766680.0;24230.0;Manufacturing;BLOCK NO 457CHHATRAL   ;ROC AHMEDABAD;denischem401@gmail.com;31-3-2019;31-3-2019
L24230GJ1981PLC004878;GUJARAT THEMIS BIOSYN LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;11-12-1981;Gujarat;250000000.0;72639510.0;24230.0;Manufacturing;69/C, GIDC INDUSTRIAL ESTATE,VAPI  ;ROC AHMEDABAD;gtblmumbai@gtbl.in;31-3-2019;31-3-2019
L24230GJ1983PLC006329;DISHMAN PHARMACEUTICALS AND CHEMICALSLIMITED  ;AMAL;Public;Company limited by Shares;Non-govt company;29-6-1983;Gujarat;330000000.0;322788544.0;24230.0;Manufacturing;BHADR-RAJ CHAMBERS SWASTIK CROSS ROADSNAVRANGPURA  ;ROC AHMEDABAD;grievance@dishmangroup.com;31-3-2016;31-3-2016
L24230GJ1984PLC007540;LINK PHARMACHEM LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;28-12-1984;Gujarat;50000000.0;44405680.0;24230.0;Manufacturing;162,G.I.D.C ESTATENANDESARI  ;ROC AHMEDABAD;linkpharmacs@gmail.com;31-3-2019;31-3-2019
L24230GJ1990PLC086581;NORRIS MEDICINES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;7-9-1990;Gujarat;101000000.0;99257500.0;24230.0;Manufacturing;Plot No. 801/P, GIDC,   ;ROC AHMEDABAD;norrismedicines@gmail.com;31-3-2019;31-3-2019
L24230GJ1991PLC014894;ADD-LIFE PHARMA LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;11-1-1991;Gujarat;1500000000.0;1497583700.0;24230.0;Manufacturing;412-2/C, PAYAL COMPLEX, OPP. FORTUNE TOWERS,SAYAJIGUNJ,  ;ROC AHMEDABAD;companyscretaryconsultancy@gmail.com;31-3-2012;31-3-2012
L24230GJ1991PLC015279;TORRENT CABLES LIMITED.   ;AMAL;Public;Company limited by Shares;Non-govt company;22-3-1991;Gujarat;700000000.0;85983950.0;24230.0;Manufacturing;TORRENT HOUSE NR DINESH HALLASHRAM ROAD 9   ;ROC AHMEDABAD;invgrievance@torrentcables.com;31-3-2014;31-3-2014
L24230GJ1992PLC017592;KRIPTOL INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;8-5-1992;Gujarat;120000000.0;113700000.0;24230.0;Manufacturing;304, AKRUTI COMPLEXNR. STADIUM SIX ROAD . CIRCLE  ;ROC AHMEDABAD;investors@roseindl.com;31-3-2018;31-3-2018
L24230GJ1992PLC017820;SAMRAT PHARMACHEM LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;16-6-1992;Gujarat;50000000.0;30897000.0;24230.0;Manufacturing;PLOT NO A2/3445, GIDC PHASE-4,   ;ROC AHMEDABAD;contact@samratpharmachem.in;31-3-2019;31-3-2019
L24230GJ1993PLC019050;SUN PHARMACEUTICAL INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;1-3-1993;Gujarat;6000000000.0;2399334970.0;24230.0;Manufacturing;SPARC, TANDALJA,   ;ROC AHMEDABAD;ashok.bhuta@sunpharma.com;31-3-2019;31-3-2019
L24230GJ1995PLC024288;LINCOLN PHARMACEUTICALS LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;20-1-1995;Gujarat;200000000.0;200000000.0;24230.0;Manufacturing;LINCOLN HOUSE , Behind Satyam ComplexScience City Road, Sola  ;ROC AHMEDABAD;cs@lincolnpharma.com;31-3-2019;31-3-2019
L24230GJ1995PLC025661;SHREE GANESH REMEDIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-4-1995;Gujarat;100000000.0;89713560.0;24230.0;Manufacturing;PLOT NO. 6011,G.I.D.C.,  ;ROC AHMEDABAD;chandu.kothia@ganeshremedies.com;31-3-2019;31-3-2019
L24230GJ1995PLC025878;CADILA HEALTHCARE LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;15-5-1995;Gujarat;1725000000.0;1023472600.0;24230.0;Manufacturing;Zydus Corporate Park,Scheme No. 63, Survey No. 536Khoraj(Gandhinagar),Nr. Vaishnodevi Circle,  ;ROC AHMEDABAD;dhavalsoni@zyduscadila.com;31-3-2019;31-3-2019
L24230GJ1995PLC094606;STERLING WEBNET LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;25-8-1995;Gujarat;65000000.0;57948000.0;24230.0;Manufacturing;104, SAMEDH BUILDINGBESIDE ASSOCIATED PETROL PUMP, C.G. ROAD  ;ROC AHMEDABAD;sterlingwebnetltd@gmail.com;31-3-2019;31-3-2019
L24230GJ2010PLC061123;ALEMBIC PHARMACEUTICALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;16-6-2010;Gujarat;480000000.0;377000000.0;24230.0;Manufacturing;ALEMBIC ROAD,   ;ROC AHMEDABAD;charandeep.singh@alembic.co.in;31-3-2019;31-3-2019
L24231GJ1974PLC002615;GUJARAT CARBON AND INDUSTRIES LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;11-11-1974;Gujarat;250000000.0;132406760.0;24231.0;Manufacturing;6TH FLOOR ,OFFTEL TOWERS,R.C. DUTTA ROAD ,ALKAPURI  ;ROC AHMEDABAD;gujaratcarbon@gmail.com;31-3-2016;31-3-2016
L24231GJ1985PLC007664;ZORA PHARMA LIMITED   ;AMAL;Public;Company limited by Shares;Non-govt company;21-2-1985;Gujarat;100000000.0;62433500.0;24231.0;Manufacturing;44 B NALDHARI VILLAGE P OVALIAVIA ANKLESWAR  ;ROC AHMEDABAD;udaypat@hotmail.com;30-9-2008;30-9-2008
L24231GJ1987PLC009392;SUPER CROP SAFE LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;9-2-1987;Gujarat;100000000.0;80429000.0;24231.0;Manufacturing;C-1/290, GIDC ESTATE,NARODA,  ;ROC AHMEDABAD;super_crop_safe@yahoo.com;31-3-2019;31-3-2019
L24231GJ1988PLC010956;KAMRON LABORATORIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;6-7-1988;Gujarat;60500000.0;58500000.0;24231.0;Manufacturing;904,9TH FLOOR, SHAPATH-I COMPLEX, OPP.RAJPATH CLUBNR. MADHUR HOTEL, S. G. HIGHWAY, BODAKDEV  ;ROC AHMEDABAD;info@kamronlabs.com;31-3-2019;31-3-2019
L24231GJ1988PLC011458;REKVINA LABORATORIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;1-11-1988;Gujarat;35000000.0;30140000.0;24231.0;Manufacturing;328 PARADISE COMPLEXSAYAJIGUNJ   ;ROC AHMEDABAD;rekvina@gmail.com;31-3-2017;31-3-2018
L24231GJ1991PLC015390;VADILAL CHEMICALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;11-4-1991;Gujarat;100000000.0;48740000.0;24231.0;Manufacturing;503-504, Aditya Building,Nr. Sardar Patel SevaSamaj, Mithakhali, Navrangpura, Ahmedabad  ;ROC AHMEDABAD;cs.vcl@vadilalgroup.com;31-3-2019;31-3-2019
L24231GJ1992PLC017054;ISHITA DRUGS AND INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;5-2-1992;Gujarat;35000000.0;29903000.0;24231.0;Manufacturing;SURVEY NO 179/1, VASNA-IYAVA,TALUKA SANAND  ;ROC AHMEDABAD;ishitadrugs@gmail.com;31-3-2019;31-3-2019
L24231GJ1992PLC017216;GENUINE COMODITIES DEVELOPMENT COMPANYLIMITED  ;ACTV;Public;Company limited by Shares;Non-govt company;3-3-1992;Gujarat;40000000.0;33592000.0;24231.0;Manufacturing;37/1, JAYANT PARK, ISANPURMANINAGAR  ;ROC AHMEDABAD;e_secure@sify.com;;31-3-2011
L24231GJ1992PLC017496;ZILLION PHARMA CHEM LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;24-4-1992;Gujarat;70000000.0;70000000.0;24231.0;Manufacturing;IOL HOUSE, SWATI APTS, OPP CENTRAL BANK LANE,AMBAWADI  ;ROC AHMEDABAD;nestrolimited@gmail.com;31-3-2014;31-3-2014
L24231GJ1992PLC018142;KARNAVATI ALFA INTERNATIONAL LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;10-8-1992;Gujarat;50000000.0;40063000.0;24231.0;Manufacturing;SURVEY NO. 189/1-2, KAILASH INDUSTRIAL ESTATEVILLAGE - IYAVA - VASNA, SANAND VIRAMGAM HIGHWAY  ;ROC AHMEDABAD;karnavati_alfa@yahoo.com;31-3-2007;31-3-2008
L24231GJ1992PLC018224;HEMO ORGANIC LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;28-8-1992;Gujarat;35000000.0;34659000.0;24231.0;Manufacturing;8-A, GULNAR, CHINAR - GULNAR APPT.V V NAGAR ROAD  ;ROC AHMEDABAD;drdineshpatel@rediffmail.com;31-3-2019;31-3-2019
L24231GJ1992PLC018237;BHARAT PARENTERALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;3-9-1992;Gujarat;58000000.0;57296660.0;24231.0;Manufacturing;VILL-HARIPURASAVLI  ;ROC AHMEDABAD;cs@bplindia.in;31-3-2019;31-3-2019
L24231GJ1992PLC018431;NATURO-PEST LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;15-10-1992;Gujarat;60000000.0;39427520.0;24231.0;Manufacturing;"""AC HOUSE"", OPP. DULIRAM PENDAWALA, PRATAP ROADRAOPURA  ";ROC AHMEDABAD;achouse@rediffmail.com;31-3-2013;31-3-2013
L24231GJ1993PLC019079;SHUKRA PHARMACEUTICALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;4-3-1993;Gujarat;120000000.0;15656750.0;24231.0;Manufacturing;3rd Floor, Dev House,Opp. WIAA Office, Judges Bungalows Road, Bodakdev,  ;ROC AHMEDABAD;info@shukrapharmaceuticals.com;31-3-2019;31-3-2019
L24231GJ1993PLC019178;CANVAY CHEMICALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;22-3-1993;Gujarat;50000000.0;30075000.0;24231.0;Manufacturing;P. No 73 J Type GIDC Vapi Tal-Pardi,Village-Vapi INA Taluka:Pardi District:Valsad  ;ROC AHMEDABAD;tarunvapi@yahoo.in;31-3-2019;31-3-2019
L24231GJ1993PLC019444;USHANTI COLOUR CHEM LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;12-5-1993;Gujarat;100000000.0;73017000.0;24231.0;Manufacturing;88/8 G I D C PHASE IVATVA   ;ROC AHMEDABAD;admin@ushanti.com;31-3-2019;31-3-2019
L24231GJ1993PLC020442;SPAN DYESTUFF INDUSTRIES LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;18-10-1993;Gujarat;35000000.0;33583000.0;24231.0;Manufacturing;5,NARAYAN CHAMBERS,2ND FLOOR,ASHRAM ROADAHMEDABAD.  ;ROC AHMEDABAD;chemtexdyestuff@gmail.com;31-3-2010;31-3-2010
L24231GJ1994PLC022613;PROLIFE INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-7-1994;Gujarat;45000000.0;40940800.0;24231.0;Manufacturing;213,G.I.D.C.PANOLI  ;ROC AHMEDABAD;info@prolifeindustries.in;31-3-2019;31-3-2019
L24231GJ1994PLC023504;PARMAX PHARMA LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;2-11-1994;Gujarat;60000000.0;37413000.0;24231.0;Manufacturing;Plot No. 20, Survey No. 52,Rajkot-Gondal National Highway No. 27,  ;ROC AHMEDABAD;info@parmaxpharma.com;31-3-2019;31-3-2019
L24231GJ1994PLC023574;ZENITH HEALTHCARE LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;15-11-1994;Gujarat;110000000.0;53739000.0;24231.0;Manufacturing;504, ISCON ELEGANCE, PRAHLAD NAGAR CROSS ROADNR. ANAND DHAM JAIN DERASAR, S. G. ROAD,  ;ROC AHMEDABAD;mahendrazenith@hotmail.com;31-3-2019;31-3-2019
L24231GJ1995PLC024809;SWORD AND SHIELD PHARMA LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;28-2-1995;Gujarat;60000000.0;51506000.0;24231.0;Manufacturing;55, World Business House,Near Parimal Garden,Ambawadi,  ;ROC AHMEDABAD;swordnshield1995@gmail.com;31-3-2019;31-3-2019
L24231GJ1995PLC024879;SARTHI PHARMACEUTICALS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;6-3-1995;Gujarat;55000000.0;35469000.0;24231.0;Manufacturing;609, Pratiksha Complex, Opp. Shalimar ComplexMahalaxmi Panch Rasta, Paldi  ;ROC AHMEDABAD;sarthipharmaceuticals@yahoo.co.in;31-3-2019;31-3-2019
L24231GJ1995PLC025276;OMKAR PHARMACHEM LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;31-3-1995;Gujarat;105000000.0;100836750.0;24231.0;Manufacturing;501,MAHAKANT BUILDING OPP V.S.HOSPITALASHRAM ROAD ELLISBRIDGE  ;ROC AHMEDABAD;investors.opl@gmail.com;31-3-2019;31-3-2019
L24231GJ1995PLC028189;KRIMY BISCUITS AND CHEMICAL INDUSTRIESLTD.  ;ACTV;Public;Company limited by Shares;Non-govt company;22-11-1995;Gujarat;67500000.0;39300750.0;24231.0;Manufacturing;130, VITHAL UDYOGNAGAR,VIA ANANDGUJARAT.  ;ROC AHMEDABAD;info@krimybiscuits.com;31-3-2019;31-3-2019
L24231GJ1997PLC031669;CORAL LABORATORIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;6-2-1997;Gujarat;100000000.0;35726000.0;24231.0;Manufacturing;SF- 206, Silver Oak Complex, B.P.C RoadVadodara  ;ROC AHMEDABAD;cs@corallab.com;31-3-2019;31-3-2019
L24231GJ1998PLC034094;KIRI INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;14-5-1998;Gujarat;2000000000.0;379541460.0;24231.0;Manufacturing;7th FLOOR, HASUBHAI CHAMBERS,TOWNHALL, ELLISBRIDGE,  ;ROC AHMEDABAD;info@kiriindustries.com;31-3-2019;31-3-2019
L24231GJ2000PLC038352;ZOTA HEALTH CARE LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;12-7-2000;Gujarat;250000000.0;245603270.0;24231.0;Manufacturing;ZOTA HOUSE 2/896 HIRA MODI STREETSAGRAMPURA  ;ROC AHMEDABAD;info@zotahealthcare.com;31-3-2019;31-3-2019
L24231GJ2004PLC043861;SAKAR HEALTHCARE LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;26-3-2004;Gujarat;150000000.0;149610000.0;24231.0;Manufacturing;Block No. 10/13, Village: Changodar,Sarkhej-Bavla Highway, Tal:Sanand, Dist: Ahmedabad  ;ROC AHMEDABAD;cs@sakarhealthcare.com;31-3-2019;31-3-2019
L24231GJ2012PLC068778;ARVEE LABORATORIES (INDIA) LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-1-2012;Gujarat;60000000.0;55100000.0;24231.0;Manufacturing;403, Entice, Nr. Jayantilal Park BRTS,Iscon Bopal Road, Ambli  ;ROC AHMEDABAD;compliance@arveelabs.com;31-3-2019;31-3-2019
L24232GJ1994PLC021023;ICON BIOPHARMA AND HEALTHCARE LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;7-1-1994;Gujarat;120000000.0;116178500.0;24232.0;Manufacturing;1001, 1003, & 1004, 10TH FLOORPARSHWA TOWERSOPP-TEJ MOTORS, NR.RAJPATH CLUB,SARKHEJ-GANDHI  ;ROC AHMEDABAD;iconbiopharma@yahoo.co.in;31-3-2018;31-3-2018
L24232GJ2007PLC049867;ERIS LIFESCIENCES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;25-1-2007;Gujarat;300000000.0;137519783.0;24232.0;Manufacturing;8th Floor, Commerce House- IV,Prahladnagar, 100 ft road  ;ROC AHMEDABAD;complianceofficer@erislifesciences.com;31-3-2019;31-3-2019
